Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,206.75,209.79,206.27,209.78,209.78,12090707.0
2020-01-03,207.21,210.4,206.95,208.67,208.67,11197416.0
2020-01-06,206.7,212.78,206.52,212.6,212.6,17073861.0
2020-01-07,212.82,214.58,211.75,213.06,213.06,15111857.0
2020-01-08,213.0,216.24,212.61,215.22,215.22,13492703.0
2020-01-09,217.54,218.38,216.28,218.3,218.3,12679579.0
2020-01-10,219.2,219.88,217.42,218.06,218.06,12127432.0
2020-01-13,219.6,221.97,219.21,221.91,221.91,14494517.0
2020-01-14,221.61,222.38,218.63,219.06,219.06,13315361.0
2020-01-15,220.61,221.68,220.14,221.15,221.15,10036475.0
2020-01-16,222.57,222.63,220.39,221.77,221.77,10015288.0
2020-01-17,222.03,222.29,220.53,222.14,222.14,15905944.0
2020-01-21,222.16,222.37,219.12,221.44,221.44,14275784.0
2020-01-22,222.31,222.75,221.28,221.32,221.32,12212814.0
2020-01-23,220.75,221.49,219.27,219.76,219.76,11195000.0
2020-01-24,220.8,221.78,216.11,217.94,217.94,11905824.0
2020-01-27,213.1,216.06,212.5,214.87,214.87,13810655.0
2020-01-28,216.14,218.74,213.52,217.79,217.79,13413835.0
2020-01-29,221.44,224.2,218.45,223.23,223.23,33610005.0
2020-01-30,206.53,211.43,204.75,209.53,209.53,48775500.0
2020-01-31,208.43,208.69,201.06,201.91,201.91,31359917.0
2020-02-03,203.44,205.14,202.5,204.19,204.19,15510509.0
2020-02-04,206.62,210.6,205.2,209.83,209.83,19628890.0
2020-02-05,212.51,212.73,208.71,210.11,210.11,12538154.0
2020-02-06,210.47,211.19,209.34,210.85,210.85,10567533.0
2020-02-07,210.3,212.82,209.93,212.33,212.33,12242530.0
2020-02-10,211.52,213.8,210.66,213.06,213.06,11856350.0
2020-02-11,210.19,210.86,206.51,207.19,207.19,25030810.0
2020-02-12,207.85,211.22,207.4,210.76,210.76,13813704.0
2020-02-13,209.52,214.33,209.18,213.14,213.14,15396625.0
2020-02-14,214.0,214.93,212.65,214.18,214.18,10741747.0
2020-02-18,213.55,217.98,213.4,217.8,217.8,15630026.0
2020-02-19,217.99,218.32,216.11,217.49,217.49,12135114.0
2020-02-20,216.52,218.77,212.95,214.58,214.58,13109213.0
2020-02-21,213.48,214.24,208.83,210.18,210.18,14098432.0
2020-02-24,201.8,203.65,198.17,200.72,200.72,23080057.0
2020-02-25,202.25,203.5,195.95,196.77,196.77,21433487.0
2020-02-26,197.19,201.21,195.49,197.2,197.2,16555210.0
2020-02-27,191.82,195.88,189.5,189.75,189.75,21682626.0
2020-02-28,182.7,192.74,181.82,192.47,192.47,32583494.0
2020-03-02,194.03,196.57,188.85,196.44,196.44,24948955.0
2020-03-03,196.22,197.24,183.97,185.89,185.89,27984104.0
2020-03-04,189.17,191.83,186.39,191.76,191.76,23062473.0
2020-03-05,186.78,188.99,183.89,185.17,185.17,19333425.0
2020-03-06,178.33,183.78,176.26,181.09,181.09,24559550.0
2020-03-09,169.6,175.0,165.19,169.5,169.5,29949041.0
2020-03-10,174.67,178.29,169.5,178.19,178.19,24517791.0
2020-03-11,174.01,175.88,167.66,170.24,170.24,20397204.0
2020-03-12,159.54,166.6,154.34,154.47,154.47,43266335.0
2020-03-13,163.53,170.79,157.6,170.28,170.28,35028627.0
2020-03-16,152.32,159.13,143.1,146.01,146.01,39120419.0
2020-03-17,150.74,153.94,140.0,149.42,149.42,34255596.0
2020-03-18,139.75,148.18,137.1,146.96,146.96,37553136.0
2020-03-19,146.62,159.93,144.8,153.13,153.13,39862312.0
2020-03-20,156.02,159.27,148.0,149.73,149.73,32568398.0
2020-03-23,149.66,152.31,142.25,148.1,148.1,29830765.0
2020-03-24,155.21,161.31,152.57,160.98,160.98,30440369.0
2020-03-25,158.92,162.99,153.06,156.21,156.21,35184271.0
2020-03-26,158.25,164.0,157.02,163.34,163.34,26579021.0
2020-03-27,158.2,160.09,154.75,156.79,156.79,24879869.0
2020-03-30,159.18,166.75,158.06,165.95,165.95,22515225.0
2020-03-31,165.48,170.93,164.2,166.8,166.8,23676283.0
2020-04-01,161.62,164.15,158.04,159.6,159.6,19507559.0
2020-04-02,159.1,161.35,155.92,158.19,158.19,20886309.0
2020-04-03,157.15,157.91,150.83,154.18,154.18,25983317.0
2020-04-06,160.15,166.2,158.51,165.55,165.55,28453581.0
2020-04-07,171.79,173.39,166.01,168.83,168.83,31411919.0
2020-04-08,171.25,175.0,167.74,174.28,174.28,21664198.0
2020-04-09,175.9,177.08,171.57,175.19,175.19,23534287.0
2020-04-13,173.67,175.0,169.45,174.79,174.79,19355355.0
2020-04-14,178.98,181.23,176.62,178.17,178.17,21011815.0
2020-04-15,175.19,178.19,172.82,176.97,176.97,17423003.0
2020-04-16,177.95,178.05,172.51,176.25,176.25,23593229.0
2020-04-17,179.2,180.28,176.66,179.24,179.24,20974750.0
2020-04-20,177.41,180.5,176.77,178.24,178.24,16110664.0
2020-04-21,175.25,175.38,168.34,170.8,170.8,24850528.0
2020-04-22,178.45,184.78,178.14,182.28,182.28,33369931.0
2020-04-23,184.08,187.05,183.15,185.13,185.13,21426604.0
2020-04-24,183.23,190.41,180.83,190.07,190.07,28868528.0
2020-04-27,192.66,193.75,187.41,187.5,187.5,29197750.0
2020-04-28,188.66,189.2,182.56,182.91,182.91,21730986.0
2020-04-29,190.93,196.91,190.0,194.19,194.19,45954521.0
2020-04-30,206.92,209.69,201.57,204.71,204.71,46230116.0
2020-05-01,201.6,207.28,199.05,202.27,202.27,30415581.0
2020-05-04,200.2,205.91,198.76,205.26,205.26,19250673.0
2020-05-05,207.02,210.38,206.5,207.07,207.07,21071223.0
2020-05-06,208.12,211.6,206.66,208.47,208.47,21856963.0
2020-05-07,211.16,211.6,209.04,211.26,211.26,15151976.0
2020-05-08,212.24,213.21,210.85,212.35,212.35,12524048.0
2020-05-11,210.89,215.0,210.37,213.18,213.18,12911948.0
2020-05-12,213.29,215.28,210.0,210.1,210.1,14704647.0
2020-05-13,209.43,210.78,202.11,205.1,205.1,20684559.0
2020-05-14,202.56,206.93,200.69,206.81,206.81,17178947.0
2020-05-15,205.27,211.34,204.12,210.88,210.88,19383154.0
2020-05-18,212.15,214.64,210.94,213.19,213.19,20167443.0
2020-05-19,213.27,220.49,212.83,216.88,216.88,31843152.0
2020-05-20,223.5,231.34,223.19,229.97,229.97,50162875.0
2020-05-21,234.72,237.2,231.2,231.39,231.39,47782636.0
2020-05-22,231.51,235.99,228.74,234.91,234.91,33925564.0
2020-05-26,239.77,240.9,231.67,232.2,232.2,33178318.0
2020-05-27,229.07,230.56,221.14,229.14,229.14,34697553.0
2020-05-28,224.3,231.63,224.0,225.46,225.46,29423013.0
2020-05-29,225.2,227.49,222.88,225.09,225.09,23322476.0
2020-06-01,224.59,232.44,223.5,231.91,231.91,18223839.0
2020-06-02,230.94,233.0,226.56,232.72,232.72,20919018.0
2020-06-03,232.11,232.65,228.53,230.16,230.16,15380282.0
2020-06-04,229.56,231.63,224.61,226.29,226.29,17041481.0
2020-06-05,226.71,231.35,225.31,230.77,230.77,16750438.0
2020-06-08,229.03,231.55,227.41,231.4,231.4,15466499.0
2020-06-09,231.52,239.77,230.41,238.67,238.67,27462872.0
2020-06-10,240.96,241.21,235.28,236.73,236.73,20720709.0
2020-06-11,229.94,232.89,223.55,224.43,224.43,26708163.0
2020-06-12,229.9,231.66,224.5,228.58,228.58,22091387.0
2020-06-15,225.09,233.77,224.8,232.5,232.5,15340264.0
2020-06-16,237.14,238.46,233.0,235.65,235.65,15236691.0
2020-06-17,235.0,237.59,231.73,235.53,235.53,19578125.0
2020-06-18,234.99,236.14,232.15,235.94,235.94,15782452.0
2020-06-19,237.79,240.83,235.55,238.79,238.79,30081291.0
2020-06-22,238.56,240.7,236.91,239.22,239.22,18917782.0
2020-06-23,241.28,245.19,239.86,242.24,242.24,24017915.0
2020-06-24,241.2,243.22,232.68,234.02,234.02,20834904.0
2020-06-25,234.62,237.3,232.74,235.68,235.68,18704339.0
2020-06-26,232.64,233.09,215.4,216.08,216.08,76343939.0
2020-06-29,209.75,220.75,207.11,220.64,220.64,58514281.0
2020-06-30,220.59,227.5,218.47,227.07,227.07,33927068.0
2020-07-01,228.5,239.0,227.56,237.55,237.55,43399739.0
2020-07-02,239.0,240.0,232.61,233.42,233.42,30633620.0
2020-07-06,233.76,240.4,232.27,240.28,240.28,26206158.0
2020-07-07,239.41,247.65,238.82,240.86,240.86,27887786.0
2020-07-08,238.11,246.99,236.59,243.58,243.58,29791339.0
2020-07-09,245.0,246.53,239.24,244.5,244.5,22174896.0
2020-07-10,243.69,245.49,239.32,245.07,245.07,22982716.0
2020-07-13,247.01,250.15,238.42,239.0,239.0,24674874.0
2020-07-14,236.76,240.33,232.03,239.73,239.73,23378056.0
2020-07-15,241.55,244.82,238.05,240.28,240.28,19133562.0
2020-07-16,238.0,241.76,236.33,240.93,240.93,18880705.0
2020-07-17,241.0,244.16,237.86,242.03,242.03,18152413.0
2020-07-20,240.06,246.05,235.64,245.42,245.42,20872223.0
2020-07-21,246.22,246.91,240.08,241.75,241.75,19409687.0
2020-07-22,240.26,241.9,238.12,239.87,239.87,15427885.0
2020-07-23,239.63,242.42,231.75,232.6,232.6,21771802.0
2020-07-24,230.19,233.49,226.9,230.71,230.71,18325813.0
2020-07-27,231.46,234.95,230.83,233.5,233.5,13163083.0
2020-07-28,234.63,234.96,229.83,230.12,230.12,14170112.0
2020-07-29,231.14,233.7,230.31,233.29,233.29,13588317.0
2020-07-30,230.22,234.89,229.0,234.5,234.5,20615306.0
2020-07-31,255.82,255.85,249.0,253.67,253.67,53030037.0
